id,post_publish_date,day_name,engagements
7426169034179547136,2026-02-08,Sunday,340
7434855171056144384,2026-03-04,Wednesday,223
7435367669677101056,2026-03-05,Thursday,133
7436453754679263233,2026-03-08,Sunday,39
7430597141343027200,2026-02-20,Friday,32
7431956052679680000,2026-02-24,Tuesday,29
7431378494800117760,2026-02-22,Sunday,27
7426526136442183680,2026-02-09,Monday,26
7429434646561710080,2026-02-17,Tuesday,25
7428468069573824513,2026-02-14,Saturday,24
7433772606450769920,2026-03-01,Sunday,23
7428048711546662912,2026-02-13,Friday,22
7412203058622951424,2025-12-31,Wednesday,20
7419747990808186880,2026-01-21,Wednesday,18
7434643790008672256,2026-03-03,Tuesday,17
7426882617699921921,2026-02-10,Tuesday,17
7337427699226796032,2025-06-08,Sunday,16
7433560287238180864,2026-02-28,Saturday,16
7430234018383593472,2026-02-19,Thursday,16
7415090977167810561,2026-01-08,Thursday,15
7353850530076487680,2025-07-23,Wednesday,14
7427767719183409152,2026-02-12,Thursday,14
7410731576944230400,2025-12-27,Saturday,13
7435999429188325377,2026-03-07,Saturday,13
7426907684853133312,2026-02-10,Tuesday,12
7433430100857131009,2026-02-28,Saturday,12
7433918999484260352,2026-03-01,Sunday,12
7434140417316507648,2026-03-02,Monday,12
7429796931494670336,2026-02-18,Wednesday,12
7411421710731636737,2025-12-29,Monday,11
7415771528694390784,2026-01-10,Saturday,11
7433111400098684928,2026-02-27,Friday,11
7416524056239374336,2026-01-12,Monday,10
7424539926031118336,2026-02-03,Tuesday,10
7431740885710733312,2026-02-23,Monday,10
7313968725760614401,2025-04-04,Friday,10
7341523871906304001,2025-06-19,Thursday,9
7411819305375297536,2025-12-30,Tuesday,9
7424179002111770624,2026-02-02,Monday,8
7432465724847099904,2026-02-25,Wednesday,8
7416166185102290944,2026-01-11,Sunday,8
7435217731773399040,2026-03-05,Thursday,8
7404326067731345409,2025-12-10,Wednesday,7
7419451425732124672,2026-01-20,Tuesday,7
7422702517404188672,2026-01-29,Thursday,7
7416612268756336642,2026-01-12,Monday,7
7428347271060201473,2026-02-14,Saturday,7
7414714866026049536,2026-01-07,Wednesday,6
7426153461169184768,2026-02-08,Sunday,6
7427267174983069696,2026-02-11,Wednesday,6
