id,post_publish_date,day_name,impressions
7426169034179547136,2026-02-08,Sunday,24049
7434855171056144384,2026-03-04,Wednesday,18207
7435367669677101056,2026-03-05,Thursday,7270
7431231285093670912,2026-02-22,Sunday,6134
7434643790008672256,2026-03-03,Tuesday,1969
7428048711546662912,2026-02-13,Friday,1584
7433918999484260352,2026-03-01,Sunday,1526
7433560287238180864,2026-02-28,Saturday,1464
7431378494800117760,2026-02-22,Sunday,1315
7435217731773399040,2026-03-05,Thursday,1197
7428468069573824513,2026-02-14,Saturday,1095
7433772606450769920,2026-03-01,Sunday,1067
7411800282977943553,2025-12-30,Tuesday,988
7408132620871643136,2025-12-20,Saturday,978
7431956052679680000,2026-02-24,Tuesday,963
7431740885710733312,2026-02-23,Monday,886
7430597141343027200,2026-02-20,Friday,849
7426526136442183680,2026-02-09,Monday,820
7435999429188325377,2026-03-07,Saturday,803
7429434646561710080,2026-02-17,Tuesday,796
7414425671709622272,2026-01-06,Tuesday,787
7412203058622951424,2025-12-31,Wednesday,786
7353850530076487680,2025-07-23,Wednesday,780
7436453754679263233,2026-03-08,Sunday,777
7435006199298904064,2026-03-04,Wednesday,760
7427607484007092225,2026-02-12,Thursday,758
7426907684853133312,2026-02-10,Tuesday,753
7416524056239374336,2026-01-12,Monday,712
7426882617699921921,2026-02-10,Tuesday,690
7433111400098684928,2026-02-27,Friday,662
7429796931494670336,2026-02-18,Wednesday,628
7415771528694390784,2026-01-10,Saturday,599
7428347271060201473,2026-02-14,Saturday,591
7427767719183409152,2026-02-12,Thursday,581
7430234018383593472,2026-02-19,Thursday,564
7424539926031118336,2026-02-03,Tuesday,534
7420167474341560320,2026-01-22,Thursday,531
7429192872450531328,2026-02-16,Monday,493
7433430100857131009,2026-02-28,Saturday,491
7424541697453436928,2026-02-03,Tuesday,445
7427388480235868161,2026-02-11,Wednesday,435
7313968725760614401,2025-04-04,Friday,425
7428859215898644481,2026-02-15,Sunday,425
7419747990808186880,2026-01-21,Wednesday,422
7432465724847099904,2026-02-25,Wednesday,417
7420503427778084864,2026-01-23,Friday,412
7426360856558419968,2026-02-08,Sunday,402
7422702517404188672,2026-01-29,Thursday,402
7411421710731636737,2025-12-29,Monday,400
7410731576944230400,2025-12-27,Saturday,387
