impressions,post_len,day_name_Friday,day_name_Saturday,day_name_Sunday,day_name_Thursday,day_name_Tuesday,day_name_Wednesday,attachments_Img,attachments_Imgs,attachments_Vid,category_Career Updates & Achievements,category_Tech & Educational Content,style_Funny,style_Professional
10.087848694627853,503,0,0,1,0,0,0,0,0,0,0,1,0,1
9.809561414503964,462,0,0,0,0,0,1,0,0,0,0,0,1,0
8.891511570527564,2528,0,0,0,1,0,0,1,0,0,0,0,1,0
8.721602344674197,2952,0,0,1,0,0,0,0,0,1,1,0,0,1
7.585281078639126,1903,0,0,0,0,1,0,0,0,0,0,1,0,1
7.367708572374371,2468,1,0,0,0,0,0,0,0,1,1,0,0,1
7.330405211844402,54,0,0,1,0,0,0,1,0,0,0,0,0,0
7.288927694521257,800,0,1,0,0,0,0,0,0,0,0,0,0,0
7.181591944611865,2434,0,0,1,0,0,0,0,0,1,1,0,0,0
7.087573705557973,86,0,0,0,1,0,0,0,0,1,0,1,1,0
6.9985096422506015,2692,0,1,0,0,0,0,0,0,0,0,0,0,0
6.9726062513017535,1664,0,0,1,0,0,0,1,0,0,0,1,0,0
6.895682697747868,33,0,0,0,0,1,0,1,0,0,0,1,1,0
6.885509670034818,123,0,1,0,0,0,0,1,0,0,0,0,0,1
6.870053411798126,2082,0,0,0,0,1,0,0,0,1,0,1,0,1
6.786716950605081,2747,0,0,0,0,0,0,0,0,0,0,1,0,1
6.744059186311348,2829,1,0,0,0,0,0,0,1,0,1,0,0,0
6.709304340258298,2940,0,0,0,0,0,0,0,1,0,0,0,1,0
6.688354713946762,2880,0,1,0,0,0,0,1,0,0,0,1,0,0
6.679599185844383,1293,0,0,0,0,1,0,0,1,0,1,0,1,0
6.668228248417403,2988,0,0,0,0,1,0,0,0,0,0,0,0,0
6.666956792429207,946,0,0,0,0,0,1,0,1,0,0,1,0,0
6.659293919683638,591,0,0,0,0,0,1,1,0,0,0,0,0,1
6.655440350367647,1508,0,0,1,0,0,0,0,0,1,0,1,1,0
6.633318433280377,1285,0,0,0,0,0,1,0,0,0,1,0,0,0
6.630683385642372,56,0,0,0,1,0,0,1,0,0,1,0,0,0
6.6240652277998935,142,0,0,0,0,1,0,0,0,0,1,0,1,0
6.568077911411976,986,0,0,0,0,0,0,0,0,0,0,1,1,0
6.536691597591305,1006,0,0,0,0,1,0,0,0,1,0,1,0,0
6.495265555937008,164,1,0,0,0,0,0,1,0,0,0,1,0,1
6.4425401664681985,1558,0,0,0,0,0,1,0,1,0,0,1,1,0
6.395261598115449,1224,0,1,0,0,0,0,1,0,0,0,1,1,0
6.3818160174060985,575,0,1,0,0,0,0,0,0,1,0,0,1,0
6.364750756851911,749,0,0,0,1,0,0,1,0,0,0,0,0,1
6.335054251498059,1840,0,0,0,1,0,0,0,0,1,0,1,1,0
6.280395838960195,605,0,0,0,0,1,0,0,0,0,0,1,1,0
6.274762021241939,682,0,0,0,1,0,0,0,1,0,0,1,1,0
6.20050917404269,26,0,0,0,0,0,0,1,0,0,0,1,0,0
6.19644412779452,2574,0,1,0,0,0,0,1,0,0,1,0,0,1
6.09807428216624,662,0,0,0,0,1,0,0,0,0,0,0,1,0
6.075346031088684,267,0,0,0,0,0,1,0,0,1,0,1,1,0
6.052089168924417,401,1,0,0,0,0,0,1,0,0,1,0,0,1
6.052089168924417,1390,0,0,1,0,0,0,0,0,1,0,0,1,0
6.045005314036012,746,0,0,0,0,0,1,0,1,0,0,1,1,0
6.0330862217988015,2664,0,0,0,0,0,1,1,0,0,0,1,1,0
6.021023349349527,1004,1,0,0,0,0,0,0,1,0,1,0,0,0
5.996452088619021,45,0,0,1,0,0,0,1,0,0,0,0,0,0
5.996452088619021,1079,0,0,0,1,0,0,0,0,0,0,0,0,1
5.991464547107982,2019,0,0,0,0,0,0,0,0,0,0,1,0,0
5.958424693029782,2215,0,1,0,0,0,0,1,0,0,0,1,1,0
